IT0499A;PA_BOLZANO
IT0507A;PA_BOLZANO
IT0508A;PA_BOLZANO
IT1334A;PA_BOLZANO
IT1335A;PA_BOLZANO
IT1819A;TOSCANA
IT2241A;TOSCANA
IT1187A;TOSCANA
IT1001A;TOSCANA
IT1186A;TOSCANA
IT2239A;TOSCANA
IT2240A;TOSCANA
IT1571A;TOSCANA
IT1553A;TOSCANA
IT1654A;TOSCANA
IT0862A;TOSCANA
IT0948A;TOSCANA
IT0861A;TOSCANA
IT0860A;TOSCANA
IT1551A;TOSCANA
IT2153A;TOSCANA
IT0063A;TOSCANA
IT1560A;TOSCANA
IT1557A;TOSCANA
IT2154A;TOSCANA
IT2183A;TOSCANA
IT1409A;TOSCANA
IT1149A;TOSCANA
IT1110A;TOSCANA
IT1071A;TOSCANA
IT0950A;TOSCANA
IT0832A;TOSCANA
IT1681A;TOSCANA
IT2032A;TOSCANA
IT2184A;TOSCANA
IT1593A;TOSCANA
IT1592A;TOSCANA
IT0945A;TOSCANA
IT1180A;UMBRIA
IT1182A;UMBRIA
IT1860A;UMBRIA
IT1900A;UMBRIA
IT1901A;UMBRIA
IT2004A;UMBRIA
IT2105A;UMBRIA
IT1011A;UMBRIA
IT1365A;UMBRIA
IT1728A;UMBRIA
IT2109A;UMBRIA
IT2113A;UMBRIA
IT0863A;LAZIO
IT2023A;LAZIO
IT0989A;LAZIO
IT0867A;LAZIO
IT0884A;LAZIO
IT0825A;LAZIO
IT0952A;LAZIO
IT0956A;LAZIO
IT0885A;LAZIO
IT0888A;LAZIO
IT0889A;LAZIO
IT0887A;LAZIO
IT0828A;LAZIO
IT0957A;LAZIO
IT0953A;LAZIO
IT2264A;LAZIO
IT1184A;LAZIO
IT1200A;LAZIO
IT1183A;LAZIO
IT1837A;LAZIO
IT1836A;LAZIO
IT1835A;LAZIO
IT1834A;LAZIO
IT1841A;LAZIO
IT1906A;LAZIO
IT2012A;LAZIO
IT2172A;LAZIO
IT0865A;LAZIO
IT0869A;LAZIO
IT2173A;LAZIO
IT0991A;LAZIO
IT0870A;LAZIO
IT0871A;LAZIO
IT0992A;LAZIO
IT2013A;LAZIO
IT1613A;PUGLIA
IT1611A;PUGLIA
IT1609A;PUGLIA
IT1614A;PUGLIA
IT1658A;PUGLIA
IT1704A;PUGLIA
IT2148A;PUGLIA
IT2151A;PUGLIA
IT2150A;PUGLIA
IT1496A;CAMPANIA
IT1897A;BASILICATA
IT2205A;BASILICATA
IT1347A;SARDEGNA
IT1383A;SARDEGNA
IT1243A;SARDEGNA
IT1309A;SARDEGNA
IT2009A;SARDEGNA
IT2010A;SARDEGNA
IT2059A;SARDEGNA
IT1277A;SARDEGNA
IT1996A;SARDEGNA
IT1397A;SARDEGNA
IT1269A;SARDEGNA
IT1375A;SARDEGNA
IT1575A;SARDEGNA
IT1576A;SARDEGNA
IT1993A;SARDEGNA
IT2011A;SARDEGNA
IT2040A;SARDEGNA
IT2049A;SARDEGNA
IT2056A;SARDEGNA
IT2008A;SARDEGNA
IT2005A;SARDEGNA
